marka,model,rok_produkcji,rodzaj_paliwa,pojemnosc_silnika,data_pierwszej_rejestracji,wojewodztwo,source
SUZUKI,VITARA,2021,BENZYNA,,2021-12-21,dolnośląskie,CEPiK
HYUNDAI,I20,2016,BENZYNA,,2022-07-12,dolnośląskie,CEPiK
DACIA,SPRING,2022,ENERGIA ELEKTRYCZNA,,2023-01-02,dolnośląskie,CEPiK
KIA,NIRO,2022,ENERGIA ELEKTRYCZNA,,2023-01-02,dolnośląskie,CEPiK
FIAT,280 CAMPER,1990,OLEJ NAPĘDOWY,,2020-06-18,dolnośląskie,CEPiK
KOMAR,2352,1989,BENZYNA,,2022-12-15,dolnośląskie,CEPiK
,35S18,2020,OLEJ NAPĘDOWY,,2020-01-28,dolnośląskie,CEPiK
RENAULT,CAPTUR,2022,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
OPEL,FRONTERA,2000,OLEJ NAPĘDOWY,,2019-07-11,dolnośląskie,CEPiK
MERCEDES-BENZ,C 180,2012,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
HYUNDAI,TUCSON,2018,BENZYNA,,2019-01-15,dolnośląskie,CEPiK
MERCEDES-BENZ,E 220 D 4MATIC,2020,OLEJ NAPĘDOWY,,2020-07-03,dolnośląskie,CEPiK
BMW,325I,2005,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
MASSEY FERGUSON,590,1977,OLEJ NAPĘDOWY,,2023-01-02,dolnośląskie,CEPiK
SCANIA,R450,2018,OLEJ NAPĘDOWY,,2018-10-05,dolnośląskie,CEPiK
FORD,KUGA,2016,OLEJ NAPĘDOWY,,2022-03-30,dolnośląskie,CEPiK
FORD,FIESTA,2007,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
CITROEN,C4,2005,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
IVECO/POLMAR,35S18/PO,2019,OLEJ NAPĘDOWY,,2019-06-14,dolnośląskie,CEPiK
VOLKSWAGEN,GOLF,2005,OLEJ NAPĘDOWY,,2022-12-16,dolnośląskie,CEPiK
AUDI,A3,2003,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
TOYOTA,TOYOTA YARIS,2022,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
AUDI,A4 AVANT,2014,OLEJ NAPĘDOWY,,2019-09-09,dolnośląskie,CEPiK
PORSCHE,TAYCAN GTS,2022,ENERGIA ELEKTRYCZNA,,2023-01-02,dolnośląskie,CEPiK
HONDA,CIVIC 5DR,2006,BENZYNA,,2022-05-10,dolnośląskie,CEPiK
HYUNDAI,TUCSON,2021,BENZYNA,,2022-01-13,dolnośląskie,CEPiK
BMW,316,1998,BENZYNA,,2021-08-25,dolnośląskie,CEPiK
LONGJIA,LJ50QT,2015,BENZYNA,,2022-08-08,dolnośląskie,CEPiK
MAZDA,6,2014,OLEJ NAPĘDOWY,,2023-01-02,dolnośląskie,CEPiK
OPEL/CARPOL,MOVANO,2019,OLEJ NAPĘDOWY,,2019-12-16,dolnośląskie,CEPiK
VOLVO,S40,2005,BENZYNA,,2018-03-19,dolnośląskie,CEPiK
MERCEDES-BENZ,B 170,2007,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
AUDI,A3,2010,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
TOYOTA,PROACE,2022,OLEJ NAPĘDOWY,,2023-01-02,dolnośląskie,CEPiK
VOLKSWAGEN,GOLF,2022,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
LEXUS,NX350H,2022,BENZYNA,,2023-01-02,dolnośląskie,CEPiK
